District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	363.2	28	30	24	11	8
0	391.8	41	26	17	12	4
0	406.8	44	26	18	10	2
0	350.7	22	27	30	13	8
0	379.9	43	26	20	7	4
0	397.7	46	27	18	9	1
0	394.1	34	32	19	12	4
0	369.0	32	33	23	7	4
0	373.7	30	34	22	9	6
0	367.3	31	32	25	8	3
0	371.3	27	32	24	14	4
0	363.3	22	33	27	14	5
0	366.0	28	33	24	9	5
0	436.3	54	34	8	3	1
0	359.2	17	35	25	18	5
0	365.9	34	26	25	9	6
0	*	*	*	*	*	*
0	427.9	54	34	11	1	0
0	437.0	62	12	18	5	3
0	357.0	29	23	26	10	12
0	319.8	5	24	33	24	14
0	387.8	43	21	17	9	9
0	*	*	*	*	*	*
0	342.7	15	28	39	11	7
0	357.9	30	24	22	8	16
0	327.5	4	25	49	13	9
0	*	*	*	*	*	*
0	376.0	39	29	24	6	3
0	327.5	9	23	38	16	14
0	298.3	2	14	27	32	25
0	393.5	39	30	19	8	3
0	347.4	13	33	31	19	4
0	252.3	0	15	0	15	69
0	457.1	67	28	4	0	1
0	*	*	*	*	*	*
0	368.3	31	31	28	6	4
0	362.5	29	32	23	10	6
0	320.2	5	24	28	31	11
0	292.7	1	11	26	42	20
0	346.6	25	24	28	13	10
0	338.9	15	25	37	13	11
0	254.8	0	0	8	38	54
0	398.1	38	38	17	6	1
0	294.8	1	14	24	46	15
0	300.5	2	14	31	40	13
0	337.1	12	26	31	20	10
0	333.9	13	26	35	12	14
0	*	*	*	*	*	*
0	351.4	19	31	36	9	5
0	*	*	*	*	*	*
0	313.3	2	17	45	17	18
0	345.1	21	24	26	10	18
0	344.6	16	29	38	11	7
0	*	*	*	*	*	*
0	350.1	23	24	29	12	11
0	*	*	*	*	*	*
0	354.1	23	31	32	9	6
0	283.3	6	10	19	13	51
0	312.0	1	24	34	17	24
0	296.8	2	4	44	18	32
0	325.8	10	20	39	18	14
0	*	*	*	*	*	*
0	328.1	9	25	37	16	14
0	296.0	2	12	30	33	23
0	346.3	22	27	23	12	17
0	279.0	0	5	22	50	23
0	283.5	0	9	21	49	21
0	347.3	17	31	25	22	6
0	265.7	0	0	17	46	38
0	357.5	27	25	28	10	9
0	341.7	23	23	26	14	14
0	284.1	1	8	20	47	25
0	323.2	10	20	29	25	15
0	338.3	14	25	37	14	10
0	*	*	*	*	*	*
0	285.9	0	10	21	48	20
0	261.4	0	0	13	42	45
0	354.6	20	32	23	20	5
0	336.6	12	26	25	27	10
0	320.4	8	20	28	32	11
0	314.3	4	21	32	26	16
0	353.8	24	27	32	10	8
0	328.9	10	24	37	15	14
0	305.5	0	6	61	22	11
0	319.9	3	23	44	15	15
0	344.4	21	24	26	9	19
0	297.7	2	5	43	19	31
0	348.3	19	30	35	10	6
0	329.0	8	30	25	32	5
0	311.6	10	19	26	35	10
0	330.4	14	22	25	29	9
0	333.5	11	32	26	23	8
0	341.2	13	29	28	25	4
0	347.9	14	36	30	18	2
0	333.1	19	20	28	30	3
0	321.5	14	23	23	29	11
0	327.5	11	30	24	26	9
0	308.7	8	22	23	28	18
0	316.4	12	21	24	31	12
0	315.8	11	20	25	29	15
0	327.5	10	24	33	21	12
0	40.0	0	0	0	0	0
0	38.7	0	0	0	0	0
0	38.9	0	0	0	0	0
0	38.9	0	0	0	0	0
0	35.4	0	0	0	0	0
0	37.1	0	0	0	0	0
0	36.2	0	0	0	0	0
0	36.8	0	0	0	0	0
0	37.5	0	0	0	0	0
0	38.9	0	0	0	0	0
0	34.9	0	0	0	0	0
0	35.9	0	0	0	0	0
0	36.6	0	0	0	0	0
0	35.6	0	0	0	0	0
0	373.8	29	31	23	16	1
0	344.7	20	27	33	18	2
0	350.4	22	26	32	16	3
0	386.8	34	31	21	14	0
0	377.2	28	35	18	16	3
0	343.7	23	26	29	15	7
0	341.6	17	27	30	15	11
0	385.5	35	27	21	13	4
0	352.9	24	28	20	19	9
0	345.0	12	35	32	16	5
0	333.0	12	24	34	24	5
0	331.6	14	22	27	26	11
0	393.5	43	24	16	12	5
0	357.8	25	29	24	12	9
0	346.4	20	26	31	14	9
0	410.3	45	26	17	10	2
0	398.3	46	26	17	9	1
0	376.6	41	25	21	8	5
0	364.9	30	33	23	9	5
0	396.2	35	30	18	12	4
0	377.2	32	33	20	9	6
0	372.6	28	32	23	14	4
0	362.9	29	32	26	9	4
0	360.0	25	33	25	10	6
0	434.0	52	35	9	3	1
0	364.2	23	33	26	14	5
0	*	*	*	*	*	*
0	431.3	56	33	9	1	0
0	357.0	17	33	25	19	6
0	359.5	32	22	23	10	13
0	319.4	6	24	32	24	15
0	442.9	63	7	21	5	5
0	359.3	30	26	26	10	8
0	393.7	46	20	16	9	10
0	*	*	*	*	*	*
0	329.5	5	27	44	14	9
0	347.0	18	30	36	10	6
0	*	*	*	*	*	*
0	363.8	34	23	19	6	18
0	357.2	27	30	24	12	7
0	394.8	39	30	19	8	4
0	297.0	3	14	25	32	27
0	318.6	5	23	27	32	12
0	350.1	14	34	29	18	5
0	*	*	*	*	*	*
0	461.1	71	22	5	0	2
0	388.0	47	34	11	5	3
0	332.5	12	25	34	14	15
0	371.0	35	30	25	6	5
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	338.9	16	24	33	14	13
0	338.7	16	28	31	10	15
0	357.9	23	32	31	8	5
0	407.0	44	37	15	4	1
0	297.6	1	20	21	38	20
0	301.8	2	15	31	38	14
0	291.4	1	11	25	42	22
0	339.1	13	27	30	20	10
0	339.7	22	23	27	14	13
0	352.5	26	25	23	8	19
0	*	*	*	*	*	*
0	353.0	22	30	32	9	8
0	350.6	26	23	25	12	14
0	314.8	4	20	41	14	21
0	*	*	*	*	*	*
0	303.3	4	7	44	22	22
