District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	365.5	28	33	22	10	7
0	389.5	39	30	17	11	3
0	354.0	23	29	29	12	7
0	410.3	45	26	17	10	2
0	383.9	44	26	20	7	3
0	402.6	50	26	15	8	1
0	404.0	37	32	17	11	3
0	376.7	28	35	24	8	4
0	374.2	34	33	23	6	4
0	371.5	34	33	24	7	3
0	375.9	29	31	24	13	3
0	366.0	22	35	27	13	3
0	372.7	31	35	23	8	3
0	439.0	54	33	9	4	1
0	360.9	17	35	25	17	5
0	363.9	32	25	25	8	10
0	*	*	*	*	*	*
0	424.3	52	35	11	2	0
0	368.8	33	30	26	8	4
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	493.8	82	12	3	1	1
0	320.9	5	24	32	27	11
0	402.3	46	25	15	9	5
0	296.1	2	13	26	37	23
0	433.9	53	35	8	3	1
0	396.7	36	38	17	7	2
0	*	*	*	*	*	*
0	373.0	34	34	21	8	3
0	374.9	33	33	26	5	3
0	341.0	15	25	37	13	10
0	347.4	13	33	29	21	3
0	274.3	5	10	10	25	50
0	334.2	5	34	44	10	7
0	367.4	30	29	24	6	10
0	372.4	29	37	26	6	2
0	324.2	6	26	28	30	10
0	334.0	11	26	37	14	11
0	339.1	13	29	36	12	10
0	296.2	1	12	27	41	19
0	355.6	19	31	39	8	3
0	355.8	25	25	28	9	13
0	324.9	6	20	52	11	11
0	290.1	1	10	23	49	17
0	301.4	2	14	29	44	11
0	348.6	18	26	36	11	8
0	357.4	20	37	32	7	4
0	*	*	*	*	*	*
0	366.9	31	27	25	10	7
0	*	*	*	*	*	*
0	359.8	28	30	27	9	6
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	338.2	11	29	31	20	8
0	396.6	33	45	14	7	1
0	350.0	15	34	26	21	4
0	294.9	1	13	28	36	22
0	282.0	5	14	9	23	50
0	*	*	*	*	*	*
0	303.8	0	6	56	22	17
0	*	*	*	*	*	*
0	362.6	25	34	29	7	5
0	365.9	31	24	26	10	8
0	280.7	1	6	20	53	20
0	290.3	1	9	27	46	18
0	322.2	3	24	45	12	15
0	297.7	9	13	24	13	41
0	333.6	10	21	43	17	9
0	286.2	1	9	20	44	26
0	351.8	25	27	24	11	13
0	350.0	23	28	27	13	8
0	333.1	11	27	36	14	12
0	334.8	11	27	37	14	11
0	344.2	14	28	25	24	9
0	344.7	15	26	41	12	6
0	355.3	25	25	28	8	13
0	328.0	4	28	46	11	11
0	289.9	1	9	25	47	18
0	326.4	10	22	26	33	9
0	362.6	27	29	30	9	6
0	*	*	*	*	*	*
0	353.0	20	31	33	10	7
0	340.5	15	23	23	23	15
0	280.1	6	11	6	29	49
0	299.1	0	4	46	25	25
0	326.5	10	23	28	25	13
0	358.6	18	36	24	19	3
0	315.0	4	21	31	30	14
0	329.3	8	32	24	30	6
0	315.4	12	19	28	34	8
0	332.9	15	22	25	30	8
0	331.1	10	30	28	25	7
0	345.5	15	30	26	25	3
0	351.2	16	36	30	16	2
0	339.0	20	21	29	28	2
0	321.1	19	17	23	27	14
0	328.5	10	27	24	28	11
0	305.9	7	21	20	30	23
0	*	*	*	*	*	*
0	325.3	15	24	24	25	12
0	305.2	6	17	29	33	16
0	329.6	16	24	24	25	11
0	344.9	19	29	22	18	12
0	312.4	10	19	24	27	19
0	306.8	7	15	30	32	16
0	296.3	2	13	27	37	21
0	303.6	5	13	34	32	16
0	310.0	8	15	32	33	13
0	312.1	9	20	28	28	16
0	317.4	8	24	30	24	14
0	298.5	4	15	26	40	15
0	293.8	5	14	25	34	22
0	297.1	1	12	32	39	16
0	300.0	3	13	32	36	17
0	305.8	6	15	30	34	15
0	369.8	25	33	26	16	1
0	344.9	24	24	31	20	2
0	358.0	29	26	27	16	2
0	384.4	33	30	22	13	1
0	348.0	26	27	23	16	7
0	384.6	32	33	17	14	3
0	369.5	31	24	20	18	8
0	344.0	24	22	24	14	16
0	361.1	26	26	29	14	5
0	366.8	31	21	21	17	11
0	320.0	10	20	26	24	20
0	341.3	18	25	30	16	10
0	*	*	*	*	*	*
0	317.9	4	27	33	14	22
0	330.2	11	22	35	26	5
0	*	*	*	*	*	*
0	325.5	8	33	8	42	8
0	333.1	13	29	33	19	7
0	302.0	5	11	32	23	28
0	314.0	11	12	29	23	25
0	336.9	11	33	33	20	2
0	316.4	7	22	26	33	13
0	323.9	14	18	25	25	18
0	323.0	9	24	38	19	10
0	314.4	4	17	40	21	17
0	310.0	7	14	32	21	25
0	320.7	10	22	24	30	14
0	390.8	40	29	16	11	4
0	360.1	25	32	23	11	9
0	350.2	21	28	30	13	8
0	414.3	47	25	16	9	2
0	379.3	41	26	22	8	3
0	403.7	51	25	14	8	2
0	406.9	38	31	17	11	3
0	368.6	31	32	25	7	5
0	379.1	30	34	23	8	5
0	376.3	30	31	23	13	3
