CDS code	AP Examinations Passed 
37683383731213	58.9
37683380107185	30.8
37683380107201	25.0
37683380107193	45.2
37683383732781	66.2
37683383732997	41.5
37683380107078	43.1
37683380107086	43.9
37683383733508	82.0
37683380114025	18.8
37683383733698	34.1
37683383730181	66.5
37683383734431	95.8
37683383734654	48.1
37683383735750	55.0
37683380107052	44.1
37683380107029	52.9
37683380107219	23.1
37683383730371	52.4
37683383730884	81.1
37683383730173	61.2
37683383730314	73.0
37683380119610	38.9
37683383731189	61.7
