"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Level 3","Percentage Level 2","Percentage Level 1","Students with Scores"
"37","00000","0000000",,2017,1,"A","2824","2824",3,"3","405","367","343.8","26.43","27.25","46.32","367"
"37","00000","0000000",,2017,1,"A","2826","2826",3,"4","405","367","333.9","5.99","29.97","64.03","367"
"37","00000","0000000",,2017,1,"A","2826","2826",4,"4","462","400","433.1","7.75","25.75","66.50","400"
"37","00000","0000000",,2017,1,"A","2824","2824",4,"3","462","397","437.5","14.11","29.97","55.92","397"
"37","00000","0000000",,2017,1,"A","2824","2824",5,"3","449","397","538.2","12.34","36.27","51.39","397"
"37","00000","0000000",,2017,1,"A","2826","2826",5,"4","449","402","532.8","5.72","28.86","65.42","402"
"37","00000","0000000",,2017,1,"A","2826","2826",6,"4","459","390","633.3","2.82","28.72","68.46","390"
"37","00000","0000000",,2017,1,"A","2824","2824",6,"3","459","391","638.2","8.95","35.04","56.01","391"
"37","00000","0000000",,2017,1,"A","2824","2824",7,"3","495","430","738.9","14.88","28.84","56.28","430"
"37","00000","0000000",,2017,1,"A","2826","2826",7,"4","495","429","733.5","7.23","24.94","67.83","429"
"37","00000","0000000",,2017,1,"A","2826","2826",8,"4","473","408","834.5","7.35","29.66","62.99","408"
"37","00000","0000000",,2017,1,"A","2824","2824",8,"3","473","409","841.5","15.89","48.90","35.21","409"
"37","00000","0000000",,2017,1,"A","2824","2824",11,"3","500","433","944.7","27.25","35.33","37.41","433"
"37","00000","0000000",,2017,1,"A","2826","2826",11,"4","500","430","936.9","10.00","31.16","58.84","430"
"37","00000","0000000",,2017,1,"A","2826","2826",13,"4","3243","2826","","6.76","28.41","64.83","2826"
"37","00000","0000000",,2017,1,"A","2824","2824",13,"3","3243","2824","","17.14","34.60","48.26","2824"
"37","00000","0000000",,2017,3,"A","1869","1869",3,"3","262","232","343.4","25.43","28.88","45.69","232"
"37","00000","0000000",,2017,3,"A","1869","1869",3,"4","262","234","334.4","6.84","29.49","63.68","234"
"37","00000","0000000",,2017,3,"A","1869","1869",4,"4","290","249","433.2","8.43","24.10","67.47","249"
"37","00000","0000000",,2017,3,"A","1869","1869",4,"3","290","247","436.8","14.57","30.36","55.06","247"
"37","00000","0000000",,2017,3,"A","1869","1869",5,"3","312","277","539.7","15.88","35.02","49.10","277"
"37","00000","0000000",,2017,3,"A","1869","1869",5,"4","312","282","534.4","7.09","30.50","62.41","282"
"37","00000","0000000",,2017,3,"A","1869","1869",6,"4","294","245","634.1","2.86","30.61","66.53","245"
"37","00000","0000000",,2017,3,"A","1869","1869",6,"3","294","248","638.4","8.06","35.89","56.05","248"
"37","00000","0000000",,2017,3,"A","1869","1869",7,"3","341","295","738.8","14.58","30.17","55.25","295"
"37","00000","0000000",,2017,3,"A","1869","1869",7,"4","341","294","733.6","7.82","24.49","67.69","294"
"37","00000","0000000",,2017,3,"A","1869","1869",8,"4","322","273","834.5","7.69","27.11","65.20","273"
"37","00000","0000000",,2017,3,"A","1869","1869",8,"3","322","276","841.2","18.12","45.29","36.59","276"
"37","00000","0000000",,2017,3,"A","1869","1869",11,"3","340","294","945.5","29.25","35.37","35.37","294"
"37","00000","0000000",,2017,3,"A","1869","1869",11,"4","340","292","937.8","10.27","33.90","55.82","292"
