,Unnamed: 0,District Code,Mean Scale Score,Percentage Advanced,Percentage Proficient,Percentage Basic,Percentage Below Basic,Percentage Far Below Basic
7,7,68023.0,338.26150550795586,26.04589963280294,28.378212974296204,21.466952264381884,11.674418604651162,3.776009791921664
8,8,68031.0,381.0337868480722,36.412698412698404,31.0,20.11904761904762,7.821995464852607,4.6984126984126995
13,13,68106.0,318.247111416781,12.376891334250345,21.0,26.903026134800548,20.894085281980747,15.907152682255845
15,15,68122.0,317.16617063492,9.992063492063492,18.147817460317462,29.17361111111111,23.67559523809524,18.038690476190478
16,16,68130.0,309.262149954833,10.135049683830172,20.655826558265584,27.57542908762421,21.004968383017165,15.596657633243
19,19,68171.0,332.87892561983466,16.384297520661153,23.25619834710744,26.3099173553719,21.289256198347108,12.78099173553719
20,20,68189.0,335.74056999161763,17.399832355406538,23.947191953059512,25.67728415758592,19.186923721709974,12.110645431684828
23,23,68213.0,317.0936058700212,9.658280922431867,18.31341719077568,27.75995807127883,23.66666666666667,20.644654088050316
25,25,68296.0,355.5722309381877,29.30624411672419,27.420144336366487,21.113586444932533,11.526513962974587,6.3737056793222475
26,26,68304.0,341.44104084321424,18.739789196310934,25.2167325428195,26.40711462450593,17.5,11.361001317523055
28,28,68338.0,319.86852159468424,16.045265780730894,21.146733111849393,24.514811738648948,19.421096345514947,13.505675526024365
29,29,68346.0,355.425986471251,29.4379932356257,21.67249154453213,20.247463359639234,14.965614430665164,11.883314543404735
36,36,68411.0,313.0469931580845,12.3611811307166,21.607490097227224,27.49945984875765,19.887648541591645,12.227943824270794
38,38,68452.0,323.70603978300244,15.864376130198915,24.36383363471971,26.967811934900546,17.228571428571428,9.675226039783002
39,39,73551.0,356.1113062568615,27.391328210757408,24.602085620197588,23.1536772777168,14.727771679473104,8.709110867178925
40,40,73569.0,325.85429141716565,16.895808383233533,23.64910179640719,25.547704590818363,17.616766467065872,11.522554890219562
41,41,73791.0,347.89270104895064,25.14729020979021,28.94274475524476,23.30375874125874,12.265297202797205,5.416083916083917
43,43,75614.0,341.2381587725145,16.941294196130755,26.549699799866577,29.325550366911273,17.593062041360906,8.811874583055369
