District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	359.3	25	32	24	11	8
0	385.7	37	30	18	12	3
0	350.2	22	29	26	15	8
0	399.1	42	27	17	11	2
0	375.3	39	28	21	8	4
0	390.0	43	27	19	10	1
0	365.1	23	34	27	10	7
0	366.9	30	31	25	8	5
0	389.1	31	32	19	13	5
0	362.6	27	34	26	9	4
0	365.5	25	30	24	16	5
0	362.5	27	34	25	9	6
0	355.5	20	30	29	15	5
0	442.7	56	34	7	2	1
0	*	*	*	*	*	*
0	429.3	54	38	7	2	0
0	418.2	47	28	13	8	4
0	323.9	6	26	32	26	11
0	347.3	23	23	29	13	12
0	371.7	34	24	18	13	11
0	357.0	27	27	28	11	7
0	359.8	17	36	24	17	5
0	*	*	*	*	*	*
0	344.7	14	31	28	22	5
0	*	*	*	*	*	*
0	384.1	32	33	22	10	3
0	463.7	70	20	6	3	1
0	350.3	25	26	22	10	17
0	364.1	29	29	30	7	5
0	351.4	31	18	19	14	17
0	323.6	7	21	40	16	16
0	332.2	12	21	40	16	11
0	317.8	3	20	46	16	16
0	*	*	*	*	*	*
0	300.3	3	15	27	35	22
0	357.7	27	29	25	13	6
0	319.0	4	24	29	30	13
0	299.0	1	13	32	42	13
0	295.4	2	12	26	45	15
0	272.2	0	0	22	40	38
0	330.7	9	27	30	23	10
0	277.0	0	0	42	25	33
0	391.6	31	41	18	9	1
0	337.4	18	24	26	14	19
0	335.3	14	21	38	15	12
0	344.3	16	28	37	13	7
0	331.0	10	25	37	13	15
0	344.4	19	24	35	13	9
0	295.6	0	6	39	24	30
0	295.7	0	1	43	36	20
0	*	*	*	*	*	*
0	250.6	0	0	0	4	96
0	345.5	22	24	28	14	13
0	343.4	21	26	29	13	11
0	292.1	1	11	25	42	22
0	285.0	1	8	23	44	24
0	272.5	0	4	16	54	26
0	268.3	0	3	3	50	44
0	290.8	1	11	27	36	25
0	268.7	3	0	16	38	43
0	343.6	13	30	27	24	6
0	274.6	5	8	16	16	55
0	343.1	22	25	23	11	19
0	350.5	24	22	30	13	11
0	321.1	8	17	37	20	18
0	325.9	8	22	39	15	16
0	353.9	24	27	31	10	7
0	292.5	1	3	37	27	33
0	314.2	5	17	39	21	19
0	286.0	0	3	31	26	41
0	336.4	20	24	24	18	15
0	280.5	1	6	18	46	30
0	287.8	1	9	25	44	22
0	314.3	8	19	24	37	13
0	274.0	0	2	18	43	37
0	316.5	7	20	28	28	16
0	270.1	3	0	20	36	41
0	350.6	16	32	25	22	5
0	336.2	18	23	25	13	20
0	348.9	21	24	33	11	9
0	332.3	12	22	37	16	13
0	325.6	8	22	39	15	16
0	343.7	19	24	35	13	9
0	306.8	2	13	42	20	23
0	300.1	1	5	41	32	20
0	285.8	0	2	30	24	43
0	250.6	0	0	0	4	96
0	317.8	5	23	31	28	13
0	333.7	11	26	25	27	12
